Grupo de idade;População feminina(pessoas);População masculina(pessoas);Unidade da Federação;;
100 anos ou mais;919;380;Paraná;;
95 a 99 anos;4886;2266;Paraná;;
90 a 94 anos;18842;9970;Paraná;;
85 a 89 anos;44342;27968;Paraná;;
80 a 84 anos;80944;58636;Paraná;;
75 a 79 anos;128848;100776;Paraná;;
70 a 74 anos;189390;155653;Paraná;;
65 a 69 anos;257449;217601;Paraná;;
60 a 64 anos;319233;275017;Paraná;;
55 a 59 anos;371758;329634;Paraná;;
50 a 54 anos;394505;362198;Paraná;;
45 a 49 anos;403354;376195;Paraná;;
40 a 44 anos;447899;425631;Paraná;;
35 a 39 anos;446332;427441;Paraná;;
30 a 34 anos;443806;430515;Paraná;;
25 a 29 anos;445745;443286;Paraná;;
20 a 24 anos;419797;426841;Paraná;;
15 a 19 anos;374283;386743;Paraná;;
10 a 14 anos;360167;377081;Paraná;;
5 a 9 anos;372288;387628;Paraná;;
0 a 4 anos;342243;355890;Paraná;;
