group,name
1,C1NFaBCy  
1,C2NPrBCy  
1,C3NPrBCy  
1,C4NPrBCy  
1,C5NPrBCy  
1,C6NPrBCy  
1,C7NPrBCy  
1,C8NPrBCy  
1,C9NPrNec  
2,C10NPrNec 
2,C11NPrNec 
2,C12NPrNec 
2,C13NPrNec 
3,C14NPrSab 
3,C15NPrSab 
4,C17NFaNec 
4,C18NPrNec 
4,C19NFaNec 
4,C20NPrNec 
4,C21NPrNec 
4,C22NPrNec 
4,C23NPrNec 
5,C25NFfSul 
5,C27NFfSul 
5,C28NFfSul 
5,C29NFfSul 
5,C30NFfSul 
5,C31NFfSul 
5,C32NFfSul 
6,C36NFaTri 
6,C37NFaTri 
6,C38NFaTri 
6,C39NFaTri 
6,C40NFaTri 
6,C41NFaTri 
6,C42NFaTri 
7,C43NPrBCy 
7,C44NFaBCy 
7,C46NPrBCy 
8,X1NFfSnJ  
8,X2NFfSnJ  
8,X3NFfSnJ  
8,X4NFfSnJ  
9,E102NFlAng
9,E103NFlAng
9,E106NFlAng
10,E107NFlNec
10,E108NFlNec
10,E109NFaNec
10,E110NFaNec
10,E132NPrNec
10,E134NFaNec
10,E135NFaNec
10,E136NFaNec
10,E137NFaNec
10,E138NFaNec
10,E139NFaNec
10,E140NFaNec
11,E141NPrNec
11,E142NPrNec
11,E143NPrNec
12,E145NFlAng
12,E146NFlAng
12,E147NFlAng
12,E150NFlAng
12,E151NFlAng
12,E152NFlAng
12,E153NFlAng
12,E154NFlAng
13,Sab1NFaSab
13,Sab2NFaSab
13,Sab5NFaSab
14,TS129NFlVC
14,TS179NFlVC
14,TS203NFlVC
14,TS219NFaVC
14,TS233NFaVC
